"구분(1)",구분(2),구분(3),구분(4),2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"도시대기",충남,서산,동문동,28,25,25,32,29,35
"도시대기",충남,서산,대산리,22,21,21,25,28,36
"도시대기",충남,서산,성연면,21,20,22,26,28,39
"도시대기",충남,아산,모종동,28,28,29,37,33,40
"도시대기",충남,아산,배방읍,32,32,34,39,32,38
"도시대기",충남,아산,도고면,27,28,29,40,35,45
"도시대기",충남,아산,둔포면,32,29,32,43,38,45
"도시대기",충남,아산,인주면,32,31,31,40,34,42
"도시대기",충남,아산,송악면,25,24,22,31,31,43
"도시대기",충남,논산,논산,26,24,20,27,29,38
"도시대기",충남,논산,연무읍사무소,19,20,19,28,27,36
"도시대기",충남,논산,성동면,19,22,21,44,34,50
"도시대기",충남,태안,이원면,33,31,29,29,31,37
"도시대기",충남,태안,태안읍,28,25,23,26,26,35
"도시대기",충남,태안,원북면,20,19,20,23,27,35
"도시대기",충남,보령,대천2동,20,20,20,23,22,28
"도시대기",충남,보령,주교면,20,23,22,29,30,40
"도시대기",충남,홍성,홍성읍,24,25,25,31,33,40
"도시대기",충남,홍성,내포,22,21,20,27,28,41
"도시대기",충남,공주,공주,22,21,21,27,27,36
"도시대기",충남,공주,탄천면,25,26,26,46,32,39
"도시대기",충남,부여,부여읍,25,25,22,28,28,35
"도시대기",충남,청양,청양읍,24,25,22,29,32,36
"도시대기",충남,청양,정산면사무소,20,21,18,27,29,41
"도시대기",충남,금산,금산읍,20,23,24,28,28,35
"도시대기",충남,예산,예산군,22,21,21,28,25,36
"도시대기",충남,예산,삽교읍,26,28,28,41,35,43
"도시대기",충남,예산,고덕면,18,22,27,40,34,43
"도시대기",충남,계룡,엄사면,19,22,19,26,27,41
"도시대기",충남,서천,서천읍,19,22,19,29,28,39
"도시대기",충남,서천,서면,20,25,21,23,24,29
"도시대기",충남,서천,장항읍,21,24,21,27,27,37
"도시대기",전북,임실,임실읍,19,19,23,29,26,31
"도시대기",전북,임실,관촌면,21,24,19,24,26,31
"도시대기",전북,전주,효자동,25,27,27,34,30,36
"도시대기",전북,전주,삼천동,21,31,23,31,32,40
"도시대기",전북,전주,팔복동,27,29,31,37,34,40
"도시대기",전북,전주,노송동,19,24,21,30,29,37
"도시대기",전북,전주,송천동,20,25,28,34,32,38
"도시대기",전북,전주,혁신동,23,24,24,32,29,34
"도시대기",전북,전주,여의동,25,28,31,40,36,36
"도시대기",전북,군산,신풍동,23,24,24,32,32,37
"도시대기",전북,군산,소룡동,22,27,26,39,35,40
"도시대기",전북,군산,사정동,21,26,25,37,33,37
"도시대기",전북,군산,옥산면,21,24,24,31,27,32
"도시대기",전북,군산,비응도동,24,28,30,35,32,39
"도시대기",전북,군산,소룡동2,20,23,26,30,28,36
"도시대기",전북,익산,함열읍,26,27,29,43,39,45
"도시대기",전북,익산,팔봉동,27,27,27,36,31,38
"도시대기",전북,익산,모현동,22,23,24,38,35,44
"도시대기",전북,익산,삼기면,24,28,25,38,33,39
"도시대기",전북,익산,용동면,32,34,29,41,33,42
"도시대기",전북,익산,춘포면,20,28,26,38,35,43
"도시대기",전북,익산,여산면,24,24,22,28,25,33
"도시대기",전북,남원,죽항동,22,24,27,33,27,34
"도시대기",전북,남원,운봉읍,22,25,23,29,26,28
"도시대기",전북,정읍,연지동,20,22,21,26,26,33
"도시대기",전북,정읍,신태인,25,30,26,33,28,36
"도시대기",전북,정읍,영파동,26,30,27,30,29,39
"도시대기",전북,고창,고창읍,28*,27,26,24,24,33
"도시대기",전북,고창,심원면,24,30,27,26,26,34
"도시대기",전북,부안,부안읍,22,27,27,34,31,39
"도시대기",전북,부안,계화면,18,23,24,32,29,33
"도시대기",전북,김제,요촌동,21,24,24,31,29,37
"도시대기",전북,김제,광활면,20,25,25,37,27,33
"도시대기",전북,완주,고산면,20,23,21,28,25,32
"도시대기",전북,완주,봉동읍,22,22,22,29,27,34
"도시대기",전북,완주,구이면,21,23,20,24,23,30
"도시대기",전북,진안,진안읍,20,20,18,24,25,29
"도시대기",전북,무주,무주읍,24,22,18,18,18,25
"도시대기",전북,순창,순창읍,19,25,24,27,23,21
"도시대기",전북,장수,장수읍,17,21,20,29,28*,32
"도시대기",전남,화순,화순읍,18,19,18,20,20,27
"도시대기",전남,여수,서강동,18,18,16,23,22,31
"도시대기",전남,여수,월내동,26,23,21,26,26,32
"도시대기",전남,여수,문수동,18,17,16,21,20,28
"도시대기",전남,여수,여천동,20,17,17,21,19,25
"도시대기",전남,여수,덕충동,21,19,18**,31**,21,31
"도시대기",전남,여수,화양면,19,17,16,23,21,30
"도시대기",전남,여수,율촌면,22,19,19,24,23,31
"도시대기",전남,여수,삼일동,18,17,18,24,23,30
"도시대기",전남,광양,중동,27,22,22,27,27,33
"도시대기",전남,광양,태인동,25,18,14,19,21,26
"도시대기",전남,광양,봉강면,21,19,17,16,16,23
"도시대기",전남,광양,광양읍,21,19,17,18,19,25
"도시대기",전남,광양,진월면,24,21,19,24,22,27
"도시대기",전남,순천,장천동,15,15,15,19,20,25
"도시대기",전남,순천,연향동,15,15,15,19,22*,27
"도시대기",전남,순천,순천만,18,19,19,22,20,25
"도시대기",전남,순천,호두리,22,20,22,23,21,28
"도시대기",전남,순천,신대,21,18,16,19,18,23
"도시대기",전남,목포,용당동,22,21,21,24,22,29
"도시대기",전남,목포,부흥동,25,24,18,21,20,26
"도시대기",전남,영암,영암읍,16,25,26,33,32,39
"도시대기",전남,영암,대불,25,28,39,48,45,57
"도시대기",전남,나주,빛가람동,26,28,27,34,31,39
"도시대기",전남,담양,담양읍,23,29,29,35,29,32
"도시대기",전남,장성,장성읍,16,22,27,35,30,32
"도시대기",전남,해남,해남읍,22,26,22,30**,25,36
"도시대기",전남,영광,영광읍,23,24,26,26,24,31
"도시대기",전남,장흥,장흥읍,21,23,21,21,21,30
"도시대기",전남,진도,진도읍,18,17,18,20,19,29
"도시대기",전남,완도,신지면,20,19,18,22,21,27
"도시대기",전남,함평,함평읍,18,19,19,25,22,27
"도시대기",전남,고흥,고흥읍,18,19,18,23,21,25
"도시대기",전남,신안,신안군,17,17,18,23,21,29
"도시대기",전남,무안,무안읍,23,24,26,33,31,39
"도시대기",전남,강진,강진읍,24,24,22,22,21,27
"도시대기",전남,곡성,곡성읍,18,18,17,23,23,29
"도시대기",전남,구례,구례읍,17,17,20,26,24,29
"도시대기",전남,보성,벌교읍,17,21,21,25,22,28
"도시대기",전남,보성,보성읍,21,23,20,24,24,31
"도시대기",경북,영덕,영덕읍,22,18,13,16,18,22
"도시대기",경북,영덕,영해면,23,19,16,20,23,26
"도시대기",경북,영천,영천시,29,23,23,30,30,33
"도시대기",경북,의성,의성읍,23,20,19,22,27,31
"도시대기",경북,의성,안계면사무소,22,20,19,26,30,34
"도시대기",경북,포항,장흥동,30,30,28,31,27,33
"도시대기",경북,포항,장량동,-,-,16,26,28,34
"도시대기",경북,포항,대도동,30,29,26,37,37,43
